"Job.Titles","Department","Annual.Salary"
"WATER CHEMIST II","WATER MGMNT",93780
"PROJECT COORD","BUSINESS AFFAIRS",63780
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"LIEUTENANT-EMT","FIRE",130908
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ASST CORPORATION COUNSEL III","LAW",92616
"SUPVSR OF ACCOUNTING","FINANCE",93000
"POLICE OFFICER","POLICE",95586
"CLERK IV","FINANCE",46188
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"DEPUTY COMMISSIONER","HEALTH",155964
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"MANAGER OF FLEET SERVICES","DAIS",107616
"ACCOUNTANT","FAMILY & SUPPORT",102732
"PROJECTS ADMINISTRATOR","BUILDINGS",105624
"POLICE OFFICER","POLICE",102372
"CHIEF PROGRAMMER/ANALYST","DAIS",142176
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ASST DISTRICT SUPERINTENDENT","WATER MGMNT",120536.04
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"LIEUTENANT-EMT","FIRE",126840
"SR PROCUREMENT SPECIALIST","PROCUREMENT",119436
"COORDINATING ENGINEER I","TRANSPORTN",117840
"LIBRARIAN I","PUBLIC LIBRARY",84936
"POLICE OFFICER","POLICE",102372
"PUBLIC HEALTH ADMINISTRATOR III","HEALTH",118104
"ASST CORPORATION COUNSEL I","LAW",88416
"CHIEF OPERATING ENGINEER","WATER MGMNT",134888.04
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"SUPPORT SERVICES COORD","FAMILY & SUPPORT",85344
"FIREFIGHTER","FIRE",103914
"FIREFIGHTER-EMT","FIRE",114570
"POLICE OFFICER","POLICE",95586
"MANAGER OF QUALITY ASSURANCE","HEALTH",92700
"SENIOR BUSINESS CONSULTANT","BUSINESS AFFAIRS",89388
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",44292
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER","FIRE",108096
"ADMINISTRATIVE ASST II","HEALTH",77772
"PROJECT COORD","FAMILY & SUPPORT",94704
"ADMINISTRATIVE ASST III","BUSINESS AFFAIRS",63972
"SERGEANT","POLICE",126504
"POLICE AGENT","POLICE",114822
"POLICE OFFICER","POLICE",86730
"LIBRARIAN III","PUBLIC LIBRARY",102516
"SERGEANT","POLICE",126504
"PUBLIC HEALTH ADMINISTRATOR III","HEALTH",102732
"POLICE OFFICER","POLICE",109236
"AVIATION SECURITY OFFICER","AVIATION",86016
"SR PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",118452
"POLICE OFFICER","POLICE",95586
"CUSTOMER SERVICES SUPVSR","AVIATION",52956
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CHAIRPERSON - COMMISSION ON HUMAN RELATIONS","HUMAN RELATIONS",143808
"POLICE OFFICER","POLICE",90990
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"SENIOR BUSINESS CONSULTANT","BUSINESS AFFAIRS",89388
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",90990
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",54324
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"PROJECT MANAGER","DAIS",125088
"POLICE OFFICER","POLICE",102372
"ACCOUNTANT","DAIS",93660
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"CAPTAIN-EMT","FIRE",147258
"FIREFIGHTER","FIRE",103914
"ASST TO THE ALDERMAN","CITY COUNCIL",80784
"POLICE OFFICER","POLICE",90990
"AVIATION SECURITY OFFICER","AVIATION",78384
"LABORATORY TECHNICIAN III","WATER MGMNT",49176
"CLERK III - EXCLD","HUMAN RESOURCES",48720
"ASST CORPORATION COUNSEL SUPVSR","LAW",134232
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",151764
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"PARKING ENFORCEMENT AIDE","FINANCE",65064
"SUPVSR OF ACCOUNTING","FINANCE",106152
"ELECTRICAL ENGINEER IV","TRANSPORTN",97080
"FIREFIGHTER-EMT","FIRE",102372
"CLASSIFICATION & COMPENSATION ANALYST","HUMAN RESOURCES",101580
"PAYMENT SERVICES REPRESENTATIVE","CITY CLERK",74280
"LIBRARIAN III","PUBLIC LIBRARY",70428
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",102372
"GENERAL MANAGER OF AIRPORT OPERATIONS","AVIATION",127608
"SENIOR EMERGENCY MANAGEMENT COORD","HEALTH",92736
"PARAMEDIC I/C","FIRE",104430
"POLICE OFFICER","POLICE",98940
"FIREFIGHTER-EMT","FIRE",102372
"AUDITOR III","FINANCE",84084
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER (ASGND AS MARINE OFFICER)","POLICE",107490
"SUPERVISING PARALEGAL","LAW",103920
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",118830
"POLICE OFFICER","POLICE",90990
"DOMESTIC VIOLENCE ADVOCATE","POLICE",53952
"PARAMEDIC","FIRE",103914
"POLICE OFFICER","POLICE",106170
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",118068
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"PARAMEDIC","FIRE",93252
"SERGEANT","POLICE",130596
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","FIRE",127410
"INVESTIGATOR II - IG","INSPECTOR GEN",78000
"AVIATION SECURITY OFFICER","AVIATION",74844
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",41208
"POLICE COMMUNICATIONS OPERATOR I","OEMC",86016
"DIR OF COLLECTION PROCESSING","CITY CLERK",108864
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",98940
"PARAMEDIC","FIRE",62466
"FINANCIAL PLANNING ANALYST - EXCLD","HOUSING & ECON DEV",97260
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",122568
"MEDICAL SERVICES COORD - CPD","PUBLIC SAFETY ADMIN",59184
"FINANCIAL PLANNING ANALYST - EXCLD","HOUSING",85248
"HUMAN RESOURCES BUSINESS PARTNER-EXCLD","AVIATION",90444
"POLICE OFFICER","POLICE",95586
"SANITATION CLERK","STREETS & SAN",77736
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"LEAD ACCOUNTANT","FINANCE",111816
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",65100
"INVESTIGATOR III - IG","INSPECTOR GEN",112164
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST II","PUBLIC LIBRARY",53088
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"POLICE OFFICER","POLICE",106170
"AVIATION SECURITY OFFICER","AVIATION",61308
"FIREFIGHTER-EMT","FIRE",110196
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"PROJECT STRATEGY MANAGER - CPD","POLICE",85248
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST II","PUBLIC LIBRARY",74280
"COMM MAYORS OFF PEOPLE W DISABILITIES","DISABILITIES",154188
"POLICE COMMUNICATIONS OPERATOR II","OEMC",58560
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",102372
"ASST CORPORATION COUNSEL SENIOR","LAW",97008
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",102372
"AVIATION SECURITY OFFICER","AVIATION",68196
"DETENTION AIDE","POLICE",62136
"SR ANALYST - MAYOR'S OFFICE","MAYOR'S OFFICE",91920
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"AIRPORT OPERATIONS SUPVSR II","AVIATION",112668
"DEPUTY DIR","PUBLIC SAFETY ADMIN",143808
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",63972
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"LIBRARIAN III","PUBLIC LIBRARY",72624
"PRINCIPAL PROGRAMMER/ANALYST","PUBLIC SAFETY ADMIN",138048
"LIBRARY CLERK","PUBLIC LIBRARY",61632
"FIREFIGHTER/PARAMEDIC","FIRE",78624
"AVIATION SECURITY OFFICER","AVIATION",61308
"POLICE OFFICER","POLICE",78024
"CAPTAIN-EMT","FIRE",151764
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",109236
"FILTRATION ENGINEER II","WATER MGMNT",70428
"FIRE ENGINEER","FIRE",112020
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",54672
"ACCOUNTING TECHNICIAN","FINANCE",81468
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",110196
"SENIOR PERSONNEL ASSISTANT","PUBLIC LIBRARY",85344
"BUILDING/CONSTRUCTION INSPECTOR","HEALTH",80616
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",95586
"EMERGENCY MANAGEMENT COMMUNICATIONS OFFICER","OEMC",58320
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"LIBRARIAN II","PUBLIC LIBRARY",93780
"WARD SUPERINTENDENT","STREETS & SAN",98220
"STAFF ASST","FIRE",85344
"CLERK IV","PUBLIC LIBRARY",67668
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",98940
"AIRPORT OPERATIONS SUPVSR II","AVIATION",123660
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE SERVICES OFFICER I","PUBLIC LIBRARY",102732
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"COMMUNITY ORGANIZER-CAPS","POLICE",85344
"POLICE OFFICER","POLICE",102372
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",95586
"CLERK III","HEALTH",64620
"AVIATION SECURITY OFFICER","AVIATION",61308
"POLICE OFFICER","POLICE",95586
"SENIOR STOREKEEPER","PUBLIC LIBRARY",58872
"POLICE OFFICER","POLICE",90990
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",86730
"LIEUTENANT","POLICE",146652
"CIVIL ENGINEER V","WATER MGMNT",108816
"LIEUTENANT-EMT","FIRE",130908
"OCCUPATIONAL HEALTH NURSE","PUBLIC SAFETY ADMIN",75492
"DEPUTY DIR","PUBLIC SAFETY ADMIN",146676
"COMMISSIONER OF HEALTH","HEALTH",197184
"MASON INSPECTOR","WATER MGMNT",111113.64
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",98940
"ASST GENERAL SUPT OF STREETS AND SANITATION","STREETS & SAN",125088
"AIRPORT FACILITIES MANAGER","AVIATION",89532
"ADMINISTRATIVE ASST III","AVIATION",66984
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",90990
"FILTRATION ENGINEER V","WATER MGMNT",110688
"PARKING ENFORCEMENT AIDE","FINANCE",68196
"DETENTION AIDE","POLICE",74844
"DETENTION AIDE","POLICE",82104
"POLICE OFFICER","POLICE",82458
"ASST BENEFITS MANAGER","FINANCE",107256
"FIREFIGHTER-EMT","FIRE",98904
"WATER CHEMIST II","WATER MGMNT",93780
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",98940
"ASST COMMISSIONER","TRANSPORTN",125088
"PROCESS SERVER","LAW",55620
"ASST CORPORATION COUNSEL SENIOR","LAW",92616
"FINANCE OFFICER","HEALTH",111816
"ADMINISTRATIVE ASST III","HEALTH",93660
"ASST EXECUTIVE DIR - BD OF ELECTIONS","BOARD OF ELECTION",130460.04
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CIVIL ENGINEER IV","TRANSPORTN",88416
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",78024
"URBAN DESIGNER","HOUSING & ECON DEV",73644
"DETENTION AIDE","POLICE",78384
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"FIRE COMMUNICATIONS OPERATOR II","OEMC",106200
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",64992
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",106170
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"FIREFIGHTER-EMT","FIRE",98904
"ARCHITECT IV","BUILDINGS",122112
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",122568
"ASST CORPORATION COUNSEL SENIOR","LAW",128160
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"PARAMEDIC I/C","FIRE",104430
"POLICE OFFICER","POLICE",106170
"LIEUTENANT-EMT","FIRE",130908
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",94368
"SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES","OEMC",96336
"PERSONNEL ASSISTANT","PUBLIC SAFETY ADMIN",77772
"ALDERMAN","CITY COUNCIL",130248
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",86016
"POLICE OFFICER","POLICE",90990
"WARD SUPERINTENDENT","STREETS & SAN",93756
"POLICE OFFICER","POLICE",109236
"ASST COMMISSIONER","STREETS & SAN",115512
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",114570
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",105936
"ADMINISTRATIVE ASST III","AVIATION",53952
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",131064
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"ASST TO THE COMMISSIONER","WATER MGMNT",83208
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ACCOUNTING TECHNICIAN","FINANCE",49176
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICY ANALYST","BUILDINGS",98520
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)","POLICE",107490
"POLICE OFFICER","POLICE",95586
"WARD SUPERINTENDENT","STREETS & SAN",103920
"POLICE OFFICER","POLICE",95586
"PAYROLL ADMINISTRATOR","PUBLIC SAFETY ADMIN",88488
"LIBRARIAN I","PUBLIC LIBRARY",59856
"POLICE OFFICER","POLICE",95586
"SUPERVISING DISEASE CONTROL INVESTIGATOR","HEALTH",98016
"POLICE COMMUNICATIONS OPERATOR II","OEMC",78384
"POLICE OFFICER","POLICE",95586
"FIRE MARSHAL-EMT","FIRE",105936
"BUSINESS COMPLIANCE INVESTIGATOR","BUSINESS AFFAIRS",70152
"FIREFIGHTER-EMT","FIRE",98904
"SERGEANT","POLICE",126504
"LIEUTENANT","POLICE",142296
"LIBRARIAN III","PUBLIC LIBRARY",102516
"POLICE OFFICER","POLICE",95586
"WATER CHEMIST II","WATER MGMNT",84084
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"PUBLIC HEALTH NURSE II","HEALTH",75492
"POLICE OFFICER","POLICE",78024
"ASST CORPORATION COUNSEL SUPVSR","LAW",128160
"LINEMAN - SALARIED","PUBLIC SAFETY ADMIN",117624
"SERGEANT","POLICE",122568
"SR PROCUREMENT SPECIALIST","PROCUREMENT",89532
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"SERGEANT","POLICE",122568
"PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",91932
"FILTRATION ENGINEER V","WATER MGMNT",133488
"ASST DIR OF INFORMATION SYSTEMS","AVIATION",112128
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"PARAMEDIC","FIRE",76122
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"ELECTRICAL MECHANIC - SALARIED","PUBLIC SAFETY ADMIN",106080
"POLICE OFFICER","POLICE",95586
"AIRPORT OPERATIONS SUPVSR I","AVIATION",66972
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",118830
"POLICE OFFICER","POLICE",109236
"QUALITY MGMT ANALYST - COPA","COPA",80172
"FIREFIGHTER/PARAMEDIC","FIRE",87348
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"PARAMEDIC","FIRE",76122
"ASSOCIATE STAFF ATTORNEY","BUSINESS AFFAIRS",70104
"FIREFIGHTER-EMT","FIRE",94152
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",106170
"HUMAN RELATIONS SPECIALIST II","HUMAN RELATIONS",107700
"POLICE OFFICER","POLICE",95586
"DETENTION AIDE","POLICE",86016
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"DEPUTY CORPORATION COUNSEL","LAW",155712
"FIRE ENGINEER-PARAMEDIC","FIRE",121656
"INTAKE AIDE","COPA",55620
"COMMUNICATIONS OPERATOR I - 311","OEMC",77772
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"LIBRARIAN I","PUBLIC LIBRARY",84936
"POLICE OFFICER","POLICE",95586
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",56664
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",102372
"ACCOUNTANT","FINANCE",59184
"FIREFIGHTER/PARAMEDIC","FIRE",96402
"COMMANDER","POLICE",175944
"FINANCIAL ANALYST","AVIATION",66804
"POLICE OFFICER","POLICE",90990
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",66984
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"DIRECTOR OF FINANCE","CULTURAL AFFAIRS",103536
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"DISTRICT MANAGER - HUMAN SERVICES","FAMILY & SUPPORT",114012
"ACCOUNTING TECHNICIAN","FINANCE",85344
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE COMMUNICATIONS OPERATOR II","OEMC",61308
"SUPPORT SERVICES COORD","FAMILY & SUPPORT",85344
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",109236
"PROJECT MANAGER","HEALTH",93744
"PARAMEDIC I/C","FIRE",112020
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",118830
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",54672
"AVIATION SECURITY SERGEANT","AVIATION",68028
"POLICE OFFICER","POLICE",109236
"PARALEGAL II","LAW",102732
"CLERK III","POLICE",64620
"COORDINATING PLANNER","AVIATION",81552
"POLICE OFFICER","POLICE",98940
"TECHNICAL SUPPORT ADM - COPA","COPA",58320
"POLICE OFFICER","POLICE",90990
"ADMINISTRATIVE SERVICES OFFICER I","PUBLIC SAFETY ADMIN",61020
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",54324
"HOUSE DRAIN INSPECTOR","WATER MGMNT",114138
"POLICE OFFICER","POLICE",102372
"PARKING ENFORCEMENT AIDE","FINANCE",44292
"FIREFIGHTER-EMT","FIRE",98904
"SENIOR CLERK-ELECTIONS","BOARD OF ELECTION",33180
"POLICE COMMUNICATIONS OPERATOR II","OEMC",61308
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"WATER RATE TAKER","WATER MGMNT",70104
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"PARKING ENFORCEMENT AIDE","FINANCE",40392
"STAFF ASST","FIRE",102732
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",59856
"SERGEANT","POLICE",122568
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"REHABILITATION CONSTRUCTION SPECIALIST","HOUSING",76992
"STAFF ASST","TRANSPORTN",102732
"SUPERVISING POLICE COMMUNICATIONS OPERATOR","OEMC",109872
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"DEPUTY DIR","PUBLIC SAFETY ADMIN",139596
"FIREFIGHTER-EMT","FIRE",105936
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"TRAFFIC CONTROL AIDE","OEMC",71436
"LIBRARIAN I","PUBLIC LIBRARY",84936
"WARRANT AND EXTRADITION AIDE","POLICE",70152
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",147258
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",70860
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",54672
"LIEUTENANT-EMT","FIRE",130908
"CAPTAIN-EMT","FIRE",151764
"SERGEANT","POLICE",126504
"CIVIL ENGINEER III","WATER MGMNT",111816
"MANAGER OF VEHICLE MAINTENANCE","DAIS",108864
"FIREFIGHTER-EMT","FIRE",98904
"ASST CORPORATION COUNSEL III","LAW",92616
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",78024
"LIEUTENANT-EMT","FIRE",130908
"POLICE COMMUNICATIONS OPERATOR II","OEMC",98892
"AIRPORT OPERATIONS SUPVSR I","AVIATION",66972
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",106170
"CHIEF DISPATCHER - EXCLD","AVIATION",89532
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",82458
"EDITORIAL ASST","CITY CLERK",77772
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",55620
"ADMINISTRATIVE ASST II","TRANSPORTN",58872
"POLICE OFFICER","POLICE",109236
